name,KEGG
P-HYDROXYPHENYLACETATE_2M-2H+K,C00642
P-HYDROXYPHENYLACETATE_M-H,C00642
P-HYDROXYPHENYLACETATE_2M-2H+Na,C00642
P-HYDROXYPHENYLACETATE_M+e,C00642
P-HYDROXYPHENYLACETATE_2M-H -H2,C00642
P-HYDROXYPHENYLACETATE_3M-3H+2Na,C00642
GUANOSINE_2M-H,C00387
GUANOSINE_M+COOH,C00387
GUANOSINE_M+e,C00387
GUANOSINE_2M+HCOO,C00387
GUANOSINE_M+CF3COO,C00387
GUANOSINE_M-H+HCOONa,C00387
GUANOSINE_M+Cl,C00387
GUANOSINE_M-H,C00387
GUANOSINE_2M+Cl,C00387
GUANOSINE_2M-2H+Na,C00387
GUANOSINE_3M-H,C00387
GUANOSINE_M-H + HCOOH,C00387
N-ACETYLNEURAMINATE_M+Cl,C19910
N-ACETYLNEURAMINATE_M-H -H2O,C19910
N-ACETYLNEURAMINATE_M-H+HCOONa,C19910
N-ACETYLNEURAMINATE_2M-H,C19910
N-ACETYLNEURAMINATE_3M-H,C19910
N-ACETYLNEURAMINATE_M-H,C19910
N-ACETYLNEURAMINATE_2M-2H+Na,C19910
PURINE_M+CF3COO,C15587
PURINE_M+COOH,C15587
PURINE_M-H + HCOOH,C15587
PURINE_M-H,C15587
PURINE_M-H+HCOONa,C15587
CYSTINE_M-H,C00491
CYSTINE_2M+CH3COO,C00491
DEOXYADENOSINE MONOPHOSPHATE_M+e,C00360
DEOXYADENOSINE MONOPHOSPHATE_M-H+HCOONa,C00360
DEOXYADENOSINE MONOPHOSPHATE_2M-H,C00360
DEOXYADENOSINE MONOPHOSPHATE_M-H,C00360
DEOXYADENOSINE MONOPHOSPHATE_2M-2H+Na,C00360
GLUTAMINE_M-H,C00064
GLUTAMINE_M-H+HCOONa,C00064
GLUTAMINE_M+Cl,C00064
GLUTAMINE_M-H -H2O,C00064
GLUTAMINE_2M-2H+Na,C00064
GLUTAMINE_2M-H,C00064
CITRATE_M-H+HCOONa,C00158
CITRATE_3M-3H+2Na,C00158
CITRATE_M-H,C00158
CITRATE_2M-2H+K,C00158
CITRATE_2M-2H+Na,C00158
TYROSINE_2M-2H+Na,C00082
TYROSINE_M-H,C00082
TYROSINE_M-H+HCOONa,C00082
MALATE_M-H,C00497
MALATE_2M-2H+Na,C00497
MALATE_2M-2H+K,C00497
MALATE_M-H+HCOONa,C00497
MALATE_M-H -H2O,C00497
MALATE_3M-3H+2Na,C00497
MALATE_2M-H,C00497
N-ACETYLTRYPTOPHAN_2M-H,null
N-ACETYLTRYPTOPHAN_M-H,null
N-ACETYLTRYPTOPHAN_M+COOH,null
N-ACETYLTRYPTOPHAN_M-H + HCOOH,null
N-ACETYLTRYPTOPHAN_2M-2H+Na,null
N-ACETYLTRYPTOPHAN_3M-H,null
N-ACETYLTRYPTOPHAN_M-H+HCOONa,null
N-ACETYLTRYPTOPHAN_2M-2H+K,null
N-ACETYLTRYPTOPHAN_3M-3H+2Na,null
N-ACETYLTRYPTOPHAN_M+CF3COO,null
N-ACETYLTRYPTOPHAN_M+Cl,null
INOSINE_M-H+HCOONa,C00294
INOSINE_M+CF3COO,C00294
INOSINE_2M+Cl,C00294
INOSINE_2M-2H+Na,C00294
INOSINE_2M-H,C00294
INOSINE_3M-3H+2Na,C00294
INOSINE_3M-H,C00294
INOSINE_M-H,C00294
INOSINE_M+Cl,C00294
ASPARTATE_M-H,C00049
ASPARTATE_M-2H+Na,C00049
ASPARTATE_2M-2H+Na,C00049
ASPARTATE_M-H -H2O,C00049
ASPARTATE_M-H+HCOONa,C00049
PYRIDOXINE_M-H -H2O,C00314
PYRIDOXINE_M-H + HCOOH,C00314
PYRIDOXINE_M+CF3COO,C00314
PYRIDOXINE_M-H+HCOONa,C00314
PYRIDOXINE_M+Cl,C00314
PYRIDOXINE_M-H,C00314
PYRIDOXINE_2M-H,C00314
PYRIDOXINE_M+COOH,C00314
THYMINE_M-H+HCOONa,C00178
THYMINE_M-H,C00178
SERINE_2M-2H+Na,C00065
SERINE_M-H+HCOONa,C00065
SERINE_M-H,C00065
CARNOSINE_M-H+HCOONa,C00386
CARNOSINE_M+e,C00386
CARNOSINE_M-H,C00386
CARNOSINE_2M-H,C00386
CARNOSINE_2M-2H+Na,C00386
CARNOSINE_M+Cl,C00386
CARNOSINE_M+CF3COO,C00386
URIDINE_M+CF3COO,C00299
URIDINE_M+COOH,C00299
URIDINE_M-H + HCOOH,C00299
URIDINE_M+Cl,C00299
URIDINE_M-H+HCOONa,C00299
URIDINE_M-H,C00299
CITRULLINE_2M-H,C00327
CITRULLINE_M+CF3COO,C00327
CITRULLINE_M+COOH,C00327
CITRULLINE_M+Cl,C00327
CITRULLINE_M+e,C00327
CITRULLINE_M-H,C00327
CITRULLINE_M-H+HCOONa,C00327
CITRULLINE_3M-3H+2Na,C00327
CITRULLINE_2M-2H+K,C00327
CITRULLINE_2M-2H+Na,C00327
CITRULLINE_M-H + HCOOH,C00327
DEOXYRIBOSE-5-PHOSPHATE_M-H+H2O,C00673
DEOXYRIBOSE-5-PHOSPHATE_M+COOH,C00673
DEOXYRIBOSE-5-PHOSPHATE_M+OH,C00673
DEOXYRIBOSE-5-PHOSPHATE_M-H,C00673
DEOXYRIBOSE-5-PHOSPHATE_M-H+HCOONa,C00673
DEOXYRIBOSE-5-PHOSPHATE_M-H + HCOOH,C00673
GLUCOSE_2M+HCOO-H2O,C15923
GLUCOSE_M+Cl -H2O,C15923
GLUCOSE_M-H -H2O,C15923
GLUCOSE_M-H + HCOOH,C15923
GLUCOSE_2M+COOH-H2O,C15923
GLUCOSE_M+COOH,C15923
GLUCOSE_M+Cl,C15923
GLUCOSE_M-H,C15923
DIHYDROOROTATE_2M-2H+Na,C00337
DIHYDROOROTATE_M-H,C00337
DIHYDROOROTATE_2M-2H+K,C00337
DIHYDROOROTATE_2M-H,C00337F
DIHYDROOROTATE_3M-3H+2Na,C00337
DIHYDROOROTATE_M-H+HCOONa,C00337
CYS-GLY_2M-H -H2,C01419
CYS-GLY_M-H,C01419
CYS-GLY_M-2H+Na,C01419
XANTHINE_2M-2H+Na,C00385
XANTHINE_M-H,C00385
XANTHINE_M+e,C00385
CREATINE_2M+Cl,C00300
CREATINE_M-H+HCOONa,C00300
CREATINE_M+Cl,C00300
CREATINE_3M-H,C00300
CREATINE_2M-2H+K,C00300
CREATINE_2M+HCOO,C00300
CREATINE_M-H,C00300
CREATINE_M-H -H2O,C00300
CREATINE_3M-3H+2Na,C00300
CREATINE_M+COOH,C00300
CREATINE_M-H + HCOOH,C00300
CREATINE_2M-2H+Na,C00300
CREATINE_2M-H,C00300
2-PHOSPHOGLYCERATE_M-H -H2O,null
2-PHOSPHOGLYCERATE_2M-2H+Na,null
2-PHOSPHOGLYCERATE_M-H,null
2-PHOSPHOGLYCERATE_M-2H+Na,null
2-PHOSPHOGLYCERATE_M-H+HCOONa,null
2-PHOSPHOGLYCERATE_2M-H,null
GUANIDINOACETATE_2M+HCOO,C00581
GUANIDINOACETATE_3M-H,C00581
GUANIDINOACETATE_M-H+HCOONa,C00581
GUANIDINOACETATE_2M-2H+Na,C00581
GUANIDINOACETATE_M-H,C00581
GUANIDINOACETATE_2M+Cl,C00581
GUANIDINOACETATE_M+COOH,C00581
GUANIDINOACETATE_M-H + HCOOH,C00581
GUANIDINOACETATE_2M-H,C00581
GUANIDINOACETATE_M+Cl,C00581
CYTIDINE_M-H,C00475
CYTIDINE_M-H + HCOOH,C00475
CYTIDINE_2M+HCOO,C00475
CYTIDINE_M+CF3COO,C00475
CYTIDINE_M+COOH,C00475
CYTIDINE_M+Cl,C00475
CYTIDINE_2M+Cl,C00475
CYTIDINE_M+e,C00475
THREONINE_M-H+HCOONa,C00188
THREONINE_2M-2H+Na,C00188
THREONINE_M-H,C00188
URIDINE MONOPHOSPHATE_M-2H+Na,C00105
URIDINE MONOPHOSPHATE_M-H+HCOONa,C00105
URIDINE MONOPHOSPHATE_M-H,C00105
URIDINE MONOPHOSPHATE_2M-2H+Na,C00105
URIDINE MONOPHOSPHATE_2M-H,C00105
DEOXYCYTIDINE MONOPHOSPHATE_2M-2H+Na,C00239
DEOXYCYTIDINE MONOPHOSPHATE_2M-H,C00239
DEOXYCYTIDINE MONOPHOSPHATE_M-H,C00239
DEOXYCYTIDINE MONOPHOSPHATE_3M-H,C00239
DEOXYCYTIDINE MONOPHOSPHATE_M-2H+Na,C00239
DEOXYCYTIDINE MONOPHOSPHATE_M+COOH,C00239
DEOXYCYTIDINE MONOPHOSPHATE_M-H + HCOOH,C00239
DEOXYCYTIDINE MONOPHOSPHATE_M-H+HCOONa,C00239
N-ACETYLASPARAGINE_M+Cl -H2O,null
N-ACETYLASPARAGINE_M-H+HCOONa,null
N-ACETYLASPARAGINE_M+e,null
N-ACETYLASPARAGINE_M-H,null
N-ACETYLASPARAGINE_M-H -H2O,null
N-ACETYLASPARAGINE_M+CF3COO,null
N-ACETYLASPARAGINE_3M-3H+2Na,null
N-ACETYLASPARAGINE_2M-2H+Na,null
N-ACETYLASPARAGINE_2M-H,null
CYSTATHIONINE_M+Cl,C02291
CYSTATHIONINE_M+e,C02291
CYSTATHIONINE_M-2H+Na,C02291
CYSTATHIONINE_M-H,C02291
4-ACETAMIDOBUTANOATE_M-H -H2O,C02946
4-ACETAMIDOBUTANOATE_2M-H,C02946
4-ACETAMIDOBUTANOATE_M+CF3COO,C02946
4-ACETAMIDOBUTANOATE_M-H+HCOONa,C02946
4-ACETAMIDOBUTANOATE_M+Cl,C02946
4-ACETAMIDOBUTANOATE_M-H,C02946
4-ACETAMIDOBUTANOATE_2M-2H+Na,C02946
GALACTARATE_M-H -H2O,C00879
PHOSPHOSERINE_M-H,C01005
PHOSPHOSERINE_2M-2H+Na,C01005
PHOSPHOSERINE_3M-3H+2Na,C01005
PHOSPHOSERINE_M-H+HCOONa,C01005
PHOSPHOSERINE_M-2H+Na,C01005
PHOSPHOSERINE_3M-H,C01005
PHOSPHOSERINE_2M+3Na -4H,C01005
PHOSPHOSERINE_2M-H,C01005
PHOSPHOSERINE_M-H -H2O,C01005
NORADRENALINE_M+CF3COO,C00547
NORADRENALINE_M-H -H2O,C00547
NORADRENALINE_M-H+HCOONa,C00547
NORADRENALINE_2M-H,C00547
NORADRENALINE_M+Cl,C00547
NORADRENALINE_M-H,C00547
DIAMINOPIMELATE_2M-2H+Na,C00666
DIAMINOPIMELATE_M-2H+K,C00666
DIAMINOPIMELATE_M+Cl,C00666
DIAMINOPIMELATE_2M-H,C00666
DIAMINOPIMELATE_M+e,C00666
DIAMINOPIMELATE_M-2H+Na,C00666
DIAMINOPIMELATE_M-H,C00666
PYROGLUTAMATE_M-H+HCOONa,C01879
PYROGLUTAMATE_2M-2H+Na,C01879
PYROGLUTAMATE_3M-3H+2Na,C01879
PYROGLUTAMATE_M-H,C01879
PYROGLUTAMATE_2M-2H+K,C01879
PYROGLUTAMATE_2M-H,C01879
O-SUCCINYL-HOMOSERINE_2M-2H+Na,C01118
O-SUCCINYL-HOMOSERINE_2M-H,C01118
O-SUCCINYL-HOMOSERINE_M-2H+K,C01118
O-SUCCINYL-HOMOSERINE_M+CF3COO,C01118
O-SUCCINYL-HOMOSERINE_M-2H+Na,C01118
O-SUCCINYL-HOMOSERINE_M-H,C01118
O-SUCCINYL-HOMOSERINE_M-H -H2O,C01118
O-SUCCINYL-HOMOSERINE_2M+3Na -4H,C01118
AMINOADIPATE_2M-H,C00956
AMINOADIPATE_2M-2H+K,C00956
AMINOADIPATE_M-2H+Na,C00956
