name,KEGG
METHYLTHIOADENOSINE+Na,C00170
DIHYDROOROTATE-dimer,C00337
DIHYDROOROTATE,C00337
DIHYDROOROTATE+Na,C00337
ASPARTYLGLYCOSAMINE+K,C04540
ASPARTYLGLYCOSAMINE+Na,C04540
ASPARTYLGLYCOSAMINE,C04540
ASPARTYLGLYCOSAMINE-dimer,C04540
XANTHINE,C00385
XANTHINE+Na,C00385
VALINE+2Na-H,C00183
VALINE+Na,C00183
VALINE,C00183
PURINE,C15587
PURINE+K,C15587
PURINE+Na,C15587
HYPOXANTHINE+K,C00262
HYPOXANTHINE-dimer+Na,C00262
HYPOXANTHINE+Na,C00262
HYPOXANTHINE+dimer,C00262
HYPOXANTHINE-dimer+K,C00262
HYPOXANTHINE,C00262
CYTOSINE+Na,C00380
CYTOSINE,C00380
CYTOSINE+K,C00380
CYTOSINE-dimer,C00380
CYTOSINE-dimer+Na,C00380
GLUTAMATE+Na,C00025
GLUTAMATE,C00025
CITRULLINE,C00327
CITRULLINE+dimer,C00327
CITRULLINE+Na,C00327
CITRULLINE+K,C00327
CITRULLINE-dimer+Na,C00327
SHIKIMATE+2Na-H,C00493
SHIKIMATE+Na,C00493
NICOTINATE,C00253
NICOTINATE_Na,C00253
N-ACETYLMANNOSAMINE+K,C00645
N-ACETYLMANNOSAMINE,C00645
N-ACETYLMANNOSAMINE-dimer,C00645
N-ACETYLMANNOSAMINE-dimer+Na,C00645
N-ACETYLMANNOSAMINE+Na,C00645
MALATE-dimer+K,C00497
MALATE+Na,C00497
MALATE,C00497
TRANS-ACONITATE+NH4,C02341
TRANS-ACONITATE,C02341
TRANS-ACONITATE+2Na-H,C02341
TRANS-ACONITATE+Na,C02341
TRANS-ACONITATE-dimer+K,C02341
GLUCOSE-CH2,C15923
GLUCOSE+Na,C15923
GLUCOSE+NH4,C15923
URIDINE,C00299
URIDINE-dimer,C00299
URIDINE-dimer+Na,C00299
URIDINE+Na,C00299
URIDINE+K,C00299
CREATININE-dimer,C00791
CREATININE,C00791
CREATININE+K,C00791
CREATININE+Na,C00791
CREATININE-dimer+Na,C00791
GLUCURONATE+Na,C00191
GLUCURONATE+NH4,C00191
DIAMINOPIMELATE,C00666
